MUNICIPIO,REDE,IDEB_2015,IDEB_2017
Alta Floresta D'Oeste,Estadual,5.8,6.2
Alta Floresta D'Oeste,Municipal,5,5.1
Alta Floresta D'Oeste,Pública,5.8,6.2
Ariquemes,Estadual,5.6,6
Ariquemes,Municipal,5,5.4
Ariquemes,Pública,5.2,5.5
Cabixi,Estadual,6.3,-
Cabixi,Municipal,5.3,6.1
Cabixi,Pública,5.5,6.1
Cacoal,Estadual,6,6.5
Cacoal,Municipal,5.8,6.1
Cacoal,Pública,5.9,6.3
Cerejeiras,Estadual,6.5,7.4
Cerejeiras,Municipal,5.4,6
Cerejeiras,Pública,5.9,6.4
Colorado do Oeste,Estadual,6.2,-
Colorado do Oeste,Municipal,-,6.4
Colorado do Oeste,Pública,6.3,6.4
Corumbiara,Estadual,5.5,-
Corumbiara,Municipal,5,5.7
Corumbiara,Pública,5.2,5.7
Costa Marques,Estadual,4.8,4.6
Costa Marques,Municipal,4.5,5
Costa Marques,Pública,4.9,4.8
Espigão D'Oeste,Estadual,6.1,6.2
Espigão D'Oeste,Municipal,5.8,5.9
Espigão D'Oeste,Pública,6,6.1
Guajará-Mirim,Estadual,4.7,5
Guajará-Mirim,Municipal,5,4.9
Guajará-Mirim,Pública,4.9,4.9
Jaru,Estadual,5.9,6.5
Jaru,Municipal,5,5.7
Jaru,Pública,5.6,6.1
Ji-Paraná,Estadual,5.8,5.9
Ji-Paraná,Municipal,6.6,7
Ji-Paraná,Pública,6,6.2
Machadinho D'Oeste,Estadual,5.9,5.7
Machadinho D'Oeste,Municipal,4.7,4.9
Machadinho D'Oeste,Pública,5.2,5.2
Nova Brasilândia D'Oeste,Estadual,7.4,7.9
Nova Brasilândia D'Oeste,Municipal,5.7,5.8
Nova Brasilândia D'Oeste,Pública,6.6,7.2
Ouro Preto do Oeste,Estadual,6.3,4.8
Ouro Preto do Oeste,Municipal,5.4,5.9
Ouro Preto do Oeste,Pública,5.7,5.8
Pimenta Bueno,Estadual,5.7,6.4
Pimenta Bueno,Municipal,6,6.1
Pimenta Bueno,Pública,5.9,6.2
Porto Velho,Estadual,5.1,5.7
Porto Velho,Municipal,4.8,5.1
Porto Velho,Pública,4.9,5.3
Presidente Médici,Estadual,6.3,6.5
Presidente Médici,Municipal,5.2,6.1
Presidente Médici,Pública,6,6.3
Rio Crespo,Estadual,5.1,6.1
Rio Crespo,Municipal,4.6,4.7
Rio Crespo,Pública,4.9,5.1
Rolim de Moura,Estadual,6,6.9
Rolim de Moura,Municipal,-,5.7
Rolim de Moura,Pública,5.6,6.4
Santa Luzia D'Oeste,Estadual,-,-
Santa Luzia D'Oeste,Municipal,6.1,6.8
Santa Luzia D'Oeste,Pública,6.1,6.8
Vilhena,Estadual,6.3,6.7
Vilhena,Municipal,5.2,5.7
Vilhena,Pública,5.6,5.9
São Miguel do Guaporé,Estadual,5.6,6.1
São Miguel do Guaporé,Municipal,4.2,5.6
São Miguel do Guaporé,Pública,5,5.7
Nova Mamoré,Estadual,5,6
Nova Mamoré,Municipal,4.5,4.6
Nova Mamoré,Pública,4.8,5.2
Alvorada D'Oeste,Estadual,5.8,6.2
Alvorada D'Oeste,Municipal,5.5,5.6
Alvorada D'Oeste,Pública,5.6,5.8
Alto Alegre dos Parecis,Estadual,5.9,6.5
Alto Alegre dos Parecis,Municipal,5.7,5.7
Alto Alegre dos Parecis,Pública,5.8,5.8
Alto Paraíso,Estadual,5.4,5.7
Alto Paraíso,Municipal,4.8,5.8
Alto Paraíso,Pública,4.9,5.7
Buritis,Estadual,6.3,-
Buritis,Municipal,5.3,5.6
Buritis,Pública,5.5,5.6
Novo Horizonte do Oeste,Estadual,6.1,6.5
Novo Horizonte do Oeste,Municipal,5.6,5.5
Novo Horizonte do Oeste,Pública,5.8,5.8
Cacaulândia,Municipal,5.7,5.8
Cacaulândia,Pública,5.7,5.8
Campo Novo de Rondônia,Estadual,5.9,-
Campo Novo de Rondônia,Municipal,4.2,5.3
Campo Novo de Rondônia,Pública,4.6,5.3
Candeias do Jamari,Estadual,4.6,5.3
Candeias do Jamari,Municipal,4,4.1
Candeias do Jamari,Pública,4.2,4.4
Castanheiras,Estadual,-,-
Castanheiras,Pública,-,-
Chupinguaia,Estadual,-,-
Chupinguaia,Municipal,5.1,5.2
Chupinguaia,Pública,5.1,5.2
Cujubim,Estadual,5.7,-
Cujubim,Municipal,4.4,4.5
Cujubim,Pública,4.5,4.5
Governador Jorge Teixeira,Estadual,5,-
Governador Jorge Teixeira,Municipal,5.9,5.5
Governador Jorge Teixeira,Pública,5.6,5.5
Itapuã do Oeste,Estadual,-,-
Itapuã do Oeste,Municipal,4.2,4.8
Itapuã do Oeste,Pública,4.2,4.8
Ministro Andreazza,Estadual,6.2,7.3
Ministro Andreazza,Municipal,6.3,6.6
Ministro Andreazza,Pública,6.3,6.9
Mirante da Serra,Estadual,3.5,-
Mirante da Serra,Municipal,5.3,5.4
Mirante da Serra,Pública,5.6,5.3
Monte Negro,Estadual,5,5.4
Monte Negro,Municipal,4.5,4.7
Monte Negro,Pública,4.8,5.3
Nova União,Estadual,5.9,-
Nova União,Municipal,5.3,5.4
Nova União,Pública,5.4,5.4
Parecis,Estadual,6.1,6
Parecis,Municipal,4.3,5.1
Parecis,Pública,4.8,5.3
Pimenteiras do Oeste,Municipal,5.8,6.3
Pimenteiras do Oeste,Pública,5.8,6.3
Primavera de Rondônia,Estadual,-,-
Primavera de Rondônia,Municipal,5.2,5.1
Primavera de Rondônia,Pública,5.2,5.1
São Felipe D'Oeste,Estadual,5.2,5.3
São Felipe D'Oeste,Municipal,5.2,5.8
São Felipe D'Oeste,Pública,5.2,5.7
São Francisco do Guaporé,Estadual,5.6,6.5
São Francisco do Guaporé,Municipal,4.9,5.5
São Francisco do Guaporé,Pública,5.3,5.9
Seringueiras,Estadual,5,7.3
Seringueiras,Municipal,5.2,5.4
Seringueiras,Pública,5.2,5.7
Teixeirópolis,Estadual,6.3,-
Teixeirópolis,Municipal,-,6
Teixeirópolis,Pública,6.1,6
Theobroma,Estadual,5.9,6.5
Theobroma,Pública,6,6.4
Urupá,Estadual,6.5,-
Urupá,Municipal,5.2,6
Urupá,Pública,5.6,6
Vale do Anari,Estadual,6.6,7
Vale do Anari,Municipal,4.5,5.6
Vale do Anari,Pública,5.1,5.8
Vale do Paraíso,Estadual,5.7,-
Vale do Paraíso,Municipal,4.8,5.1
Vale do Paraíso,Pública,4.9,5.1
Acrelândia,Estadual,-,-
Acrelândia,Municipal,5,5.4
Acrelândia,Pública,5,5.4
Assis Brasil,Estadual,-,-
Assis Brasil,Municipal,4.4,4.9
Assis Brasil,Pública,4.2,4.3
Brasiléia,Estadual,7.6,7.9
Brasiléia,Municipal,5.2,5.9
Brasiléia,Pública,5.8,6.4
Bujari,Estadual,-,-
Bujari,Municipal,4.3,4.6
Bujari,Pública,4.1,4.5
Capixaba,Estadual,-,-
Capixaba,Municipal,4.5,4.2
Capixaba,Pública,4.5,4.2
Cruzeiro do Sul,Estadual,5.5,5.9
Cruzeiro do Sul,Municipal,4.8,4.9
Cruzeiro do Sul,Pública,5.2,5.5
Epitaciolândia,Estadual,-,-
Epitaciolândia,Municipal,5.3,5.8
Epitaciolândia,Pública,5.3,5.8
Feijó,Estadual,4.8,5.4
Feijó,Municipal,4.9,5.5
Feijó,Pública,4.9,5.5
Jordão,Estadual,5.6,5.9
Jordão,Municipal,4.4,4.2
Jordão,Pública,4.8,4.8
Mâncio Lima,Estadual,-,-
Mâncio Lima,Municipal,4.5,5.3
Mâncio Lima,Pública,4.5,5.2
Manoel Urbano,Estadual,-,-
Manoel Urbano,Municipal,5.4,5
Manoel Urbano,Pública,4.9,4.7
Marechal Thaumaturgo,Municipal,4.5,4.2
Marechal Thaumaturgo,Pública,4.5,4.2
Plácido de Castro,Estadual,4.5,5.6
Plácido de Castro,Municipal,4.5,4.9
Plácido de Castro,Pública,4.5,5.2
Porto Walter,Estadual,-,-
Porto Walter,Municipal,4.1,3.7
Porto Walter,Pública,4.1,3.7
Rio Branco,Federal,6.4,6.2
Rio Branco,Estadual,5.8,6.3
Rio Branco,Municipal,5.8,6.5
Rio Branco,Pública,5.8,6.4
Rodrigues Alves,Estadual,-,-
Rodrigues Alves,Municipal,5.4,5.8
Rodrigues Alves,Pública,5.4,5.8
Santa Rosa do Purus,Municipal,4.2,3.4
Santa Rosa do Purus,Pública,4.1,3.4
Senador Guiomard,Estadual,5.7,7.3
Senador Guiomard,Municipal,5.4,5.8
Senador Guiomard,Pública,5.5,6.4
Sena Madureira,Estadual,4.2,4.7
Sena Madureira,Municipal,5.3,5.9
Sena Madureira,Pública,5.1,5.7
Tarauacá,Estadual,4.9,5.8
Tarauacá,Municipal,5,4.8
Tarauacá,Pública,4.9,5.2
Xapuri,Estadual,5.5,5.8
Xapuri,Municipal,4.8,4.7
Xapuri,Pública,5.2,5.5
Porto Acre,Estadual,-,-
Porto Acre,Municipal,4.7,4.8
Porto Acre,Pública,4.7,5
Alvarães,Estadual,4.6,5
Alvarães,Municipal,3.3,3.3
Alvarães,Pública,3.6,3.7
Amaturá,Estadual,5.1,4.5
Amaturá,Municipal,3.6,3.9
Amaturá,Pública,4,4
Anamã,Estadual,6.9,7.4
Anamã,Municipal,4.1,4.4
Anamã,Pública,4.7,5
Anori,Estadual,5.2,5.2
Anori,Municipal,4.6,5.3
Anori,Pública,4.8,5.3
Apuí,Estadual,-,6.5
Apuí,Municipal,-,4.5
Apuí,Pública,-,5.4
Atalaia do Norte,Estadual,4.1,4.4
Atalaia do Norte,Municipal,4.8,4.4
Atalaia do Norte,Pública,4.7,4.5
Autazes,Estadual,4.8,4.9
Autazes,Municipal,-,4.5
Autazes,Pública,4.5,4.8
Barcelos,Estadual,4.9,5.7
Barcelos,Municipal,4,4.3
Barcelos,Pública,4.2,4.7
Barreirinha,Estadual,5,5.2
Barreirinha,Municipal,3.9,4
Barreirinha,Pública,4.4,4.6
Benjamin Constant,Estadual,6.5,6.4
Benjamin Constant,Municipal,4.1,4
Benjamin Constant,Pública,4.5,4.4
Beruri,Estadual,8.2,5.6
Beruri,Municipal,4.6,4.4
Beruri,Pública,5.3,4.6
Boa Vista do Ramos,Estadual,5.4,4.7
Boa Vista do Ramos,Municipal,4.4,-
Boa Vista do Ramos,Pública,5.1,4.6
Boca do Acre,Estadual,6.3,6.4
Boca do Acre,Municipal,6,6
Boca do Acre,Pública,6.1,6.1
Borba,Estadual,4.6,5.5
Borba,Municipal,4.5,4.8
Borba,Pública,4.4,5.1
Caapiranga,Estadual,4.4,5.6
Caapiranga,Municipal,3.3,3.9
Caapiranga,Pública,3.6,4.7
Canutama,Estadual,4.2,4.5
Canutama,Municipal,3.2,3.6
Canutama,Pública,3.6,3.8
Carauari,Estadual,5.9,6.8
Carauari,Municipal,4.5,4
Carauari,Pública,4.9,4.8
Careiro,Estadual,5.4,5.8
Careiro,Municipal,4,4.5
Careiro,Pública,4.3,4.8
Careiro da Várzea,Estadual,4.9,4.9
Careiro da Várzea,Municipal,3.7,4.1
Careiro da Várzea,Pública,4.1,4.3
Coari,Estadual,5.3,5.7
Coari,Municipal,3.5,3.8
Coari,Pública,4.2,4.6
Codajás,Estadual,4.5,4.8
Codajás,Municipal,4.5,4.3
Codajás,Pública,4.4,4.6
Eirunepé,Estadual,6.2,6
Eirunepé,Municipal,4.3,3.7
Eirunepé,Pública,4.9,4.5
Envira,Estadual,7.1,5.7
Envira,Municipal,3.7,2.9
Envira,Pública,4.9,3.7
Fonte Boa,Estadual,3.9,4.5
Fonte Boa,Municipal,3.2,2.8
Fonte Boa,Pública,3.5,3.1
Guajará,Municipal,4.2,4.1
Guajará,Pública,4.2,4.1
Humaitá,Estadual,5.3,5
Humaitá,Municipal,4.4,4.3
Humaitá,Pública,4.6,4.5
Ipixuna,Estadual,4.1,4.4
Ipixuna,Municipal,3.8,3.6
Ipixuna,Pública,3.8,3.7
Iranduba,Estadual,4.6,4.5
Iranduba,Municipal,4.4,4.5
Iranduba,Pública,4.4,4.5
Itacoatiara,Estadual,6.6,7.3
Itacoatiara,Municipal,4.6,5.2
