MUNICIPIO,REDE,IDEB_2017
Alta Floresta D'Oeste,Estadual,3.9
Alta Floresta D'Oeste,Pública,3.9
Ariquemes,Pública,3.8
Ariquemes,Estadual,3.8
Cabixi,Estadual,3.7
Cabixi,Pública,3.7
Cacoal,Estadual,3.7
Cacoal,Pública,3.9
Cacoal,Federal,5.1
Cerejeiras,Pública,3.8
Cerejeiras,Estadual,3.8
Colorado do Oeste,Federal,4.7
Colorado do Oeste,Estadual,4
Colorado do Oeste,Pública,4.3
Corumbiara,Pública,3.9
Corumbiara,Estadual,3.9
Costa Marques,Estadual,3.8
Costa Marques,Pública,3.8
Espigão D'Oeste,Estadual,4.1
Espigão D'Oeste,Pública,4.1
Guajará-Mirim,Pública,3.2
Guajará-Mirim,Estadual,3.1
Jaru,Pública,3.7
Jaru,Estadual,3.7
Ji-Paraná,Federal,5.5
Ji-Paraná,Pública,4.2
Ji-Paraná,Estadual,4
Machadinho D'Oeste,Pública,4.3
Machadinho D'Oeste,Estadual,4.3
Nova Brasilândia D'Oeste,Estadual,-
Nova Brasilândia D'Oeste,Pública,-
Ouro Preto do Oeste,Pública,3.7
Ouro Preto do Oeste,Estadual,3.7
Pimenta Bueno,Estadual,3.5
Pimenta Bueno,Pública,3.5
Porto Velho,Federal,-
Porto Velho,Estadual,3.6
Porto Velho,Pública,3.8
Presidente Médici,Estadual,4.3
Presidente Médici,Pública,4.3
Rio Crespo,Estadual,4.3
Rio Crespo,Pública,4.3
Rolim de Moura,Estadual,4.4
Rolim de Moura,Pública,4.4
Santa Luzia D'Oeste,Estadual,4.2
Santa Luzia D'Oeste,Pública,4.2
Vilhena,Estadual,3.1
Vilhena,Federal,4.3
Vilhena,Pública,3.3
São Miguel do Guaporé,Estadual,3.8
São Miguel do Guaporé,Pública,3.8
Nova Mamoré,Pública,3.7
Nova Mamoré,Estadual,3.7
Alvorada D'Oeste,Estadual,3.8
Alvorada D'Oeste,Pública,3.8
Alto Alegre dos Parecis,Estadual,4.1
Alto Alegre dos Parecis,Pública,4.1
Alto Paraíso,Estadual,3.1
Alto Paraíso,Pública,3.1
Buritis,Pública,3.8
Buritis,Estadual,3.8
Novo Horizonte do Oeste,Pública,4.1
Novo Horizonte do Oeste,Estadual,4.1
Cacaulândia,Estadual,4.1
Cacaulândia,Pública,4.1
Campo Novo de Rondônia,Pública,3.7
Campo Novo de Rondônia,Estadual,3.7
Candeias do Jamari,Pública,3.7
Candeias do Jamari,Estadual,3.7
Castanheiras,Pública,4.3
Castanheiras,Estadual,4.3
Chupinguaia,Pública,3
Chupinguaia,Estadual,3
Cujubim,Pública,3.5
Cujubim,Estadual,3.5
Governador Jorge Teixeira,Estadual,4.1
Governador Jorge Teixeira,Pública,4.1
Itapuã do Oeste,Pública,3.7
Itapuã do Oeste,Estadual,3.7
Ministro Andreazza,Pública,4.1
Ministro Andreazza,Estadual,4.1
Mirante da Serra,Estadual,3.1
Mirante da Serra,Pública,3.1
Monte Negro,Pública,3.9
Monte Negro,Estadual,3.9
Nova União,Estadual,3.4
Nova União,Pública,3.4
Parecis,Pública,3.7
Parecis,Estadual,3.7
Pimenteiras do Oeste,Estadual,3.4
Pimenteiras do Oeste,Pública,3.4
Primavera de Rondônia,Estadual,4.6
Primavera de Rondônia,Pública,4.6
São Felipe D'Oeste,Estadual,3.9
São Felipe D'Oeste,Pública,3.9
São Francisco do Guaporé,Estadual,4.1
São Francisco do Guaporé,Pública,4.1
Seringueiras,Estadual,4.3
Seringueiras,Pública,4.3
Teixeirópolis,Estadual,4
Teixeirópolis,Pública,4
Theobroma,Estadual,3.9
Theobroma,Pública,3.9
Urupá,Estadual,4.1
Urupá,Pública,4.1
Vale do Anari,Pública,4
Vale do Anari,Estadual,4
Vale do Paraíso,Estadual,4
Vale do Paraíso,Pública,4
Acrelândia,Estadual,3.6
Acrelândia,Pública,3.6
Assis Brasil,Estadual,3.7
Assis Brasil,Pública,3.7
Brasiléia,Pública,4.2
Brasiléia,Estadual,4.2
Bujari,Pública,4
Bujari,Estadual,4
Capixaba,Estadual,3.6
Capixaba,Pública,3.6
Cruzeiro do Sul,Federal,4.4
Cruzeiro do Sul,Estadual,3.5
Cruzeiro do Sul,Pública,3.7
Epitaciolândia,Pública,3.2
Epitaciolândia,Estadual,3.2
Feijó,Pública,3.7
Feijó,Estadual,3.7
Jordão,Pública,-
Jordão,Estadual,-
Mâncio Lima,Estadual,3.9
Mâncio Lima,Pública,3.9
Manoel Urbano,Pública,3.1
Manoel Urbano,Estadual,3.1
Marechal Thaumaturgo,Pública,-
Marechal Thaumaturgo,Estadual,-
Plácido de Castro,Estadual,3.7
Plácido de Castro,Pública,3.7
Porto Walter,Estadual,3.3
Porto Walter,Pública,3.3
Rio Branco,Federal,4.5
Rio Branco,Pública,3.6
Rio Branco,Estadual,3.6
Rodrigues Alves,Estadual,3.7
Rodrigues Alves,Pública,3.7
Santa Rosa do Purus,Estadual,2.4
Santa Rosa do Purus,Pública,2.4
Senador Guiomard,Estadual,3.9
Senador Guiomard,Pública,3.9
Sena Madureira,Federal,3.9
Sena Madureira,Pública,3.7
Sena Madureira,Estadual,3.5
Tarauacá,Federal,3.2
Tarauacá,Estadual,3.5
Tarauacá,Pública,3.5
Xapuri,Federal,4.3
Xapuri,Estadual,-
Xapuri,Pública,3.8
Porto Acre,Estadual,3.7
Porto Acre,Pública,3.7
Alvarães,Pública,2.7
Alvarães,Estadual,2.7
Amaturá,Pública,3
Amaturá,Estadual,3
Anamã,Estadual,3
Anamã,Pública,3
Anori,Estadual,3.7
Anori,Pública,3.7
Apuí,Estadual,3.3
Apuí,Pública,3.3
Autazes,Pública,2.6
Autazes,Estadual,2.6
Barcelos,Estadual,3.3
Barcelos,Pública,3.3
Barreirinha,Pública,2.4
Barreirinha,Estadual,2.4
Benjamin Constant,Estadual,2.7
Benjamin Constant,Pública,2.7
Beruri,Pública,2.8
Beruri,Estadual,2.8
Boa Vista do Ramos,Estadual,2.8
Boa Vista do Ramos,Pública,2.8
Boca do Acre,Pública,3.2
Boca do Acre,Estadual,3.2
Borba,Estadual,3
Borba,Pública,3.1
Borba,Municipal,3.2
Caapiranga,Estadual,3.1
Caapiranga,Pública,3.1
Canutama,Estadual,3.3
Canutama,Pública,3.3
Carauari,Estadual,3.4
Carauari,Pública,3.4
Careiro,Pública,3.2
Careiro,Estadual,3.2
Careiro da Várzea,Pública,3.2
Careiro da Várzea,Estadual,3.2
Coari,Federal,4.1
Coari,Estadual,3
Coari,Pública,3.1
Codajás,Pública,3.1
Codajás,Estadual,3.1
Eirunepé,Estadual,3.1
Eirunepé,Pública,3.1
Eirunepé,Federal,4.1
Envira,Pública,3.8
Envira,Estadual,3.8
Fonte Boa,Pública,2.5
Fonte Boa,Estadual,2.5
Guajará,Pública,3.2
Guajará,Estadual,3.2
Humaitá,Estadual,3.3
Humaitá,Pública,3.4
Humaitá,Federal,3.8
Ipixuna,Pública,3
Ipixuna,Estadual,3
Iranduba,Pública,3.1
Iranduba,Estadual,3.1
Itacoatiara,Estadual,3.3
Itacoatiara,Pública,3.3
Itacoatiara,Federal,4.4
Itamarati,Pública,3.3
Itamarati,Estadual,3.3
Itapiranga,Estadual,3.2
Itapiranga,Pública,3.2
Japurá,Pública,2.4
Japurá,Estadual,2.4
Juruá,Estadual,2.7
Juruá,Pública,2.7
Jutaí,Estadual,2.8
Jutaí,Pública,2.8
